image_path,table_id,seat_start_time,seat_end_time,selected_people,camera_total,people_diff,person_id,gender,estimated_age_range,age_category,confidence
dataset/photo_1752803769.jpg,11,2025-07-18_10-56-19,,2,1,1,1,male,20-30,young_adult,high
dataset/photo_1752803774.jpg,10,2025-07-18_10-56-21,,2,1,1,1,male,20-29,young_adult,high
dataset/photo_1752804009.jpg,10,2025-07-18_11-00-20,,2,1,1,1,male,20-30,young_adult,high
dataset/photo_1752804808.jpg,1,2025-07-18_11-13-35,,1,1,0,1,male,20-39,young_adult,high
dataset/photo_1752804815.jpg,1,2025-07-18_11-13-44,2025-07-18_11-15-01,1,1,0,1,male,20-30,young_adult,high
dataset/photo_1752804822.jpg,4,2025-07-18_11-13-52,2025-07-18_11-14-59,1,1,0,1,male,13-19,teenager,high
dataset/photo_1752804907.jpg,1,2025-07-18_11-15-14,,1,1,0,1,male,13-19,teenager,high
dataset/photo_1752804912.jpg,1,2025-07-18_11-15-19,2025-07-18_11-17-04,1,1,0,1,male,20-29,young_adult,high
dataset/photo_1752804907.jpg,1,2025-07-18_11-16-45,2025-07-18_11-16-50,1,1,0,1,male,20-29,young_adult,high
dataset/photo_1752804907.jpg,1,2025-07-18_11-17-05,2025-07-18_11-17-19,1,1,0,1,male,20-30,young_adult,high
dataset/photo_1752804907.jpg,5,2025-07-18_11-17-10,2025-07-18_11-17-25,1,1,0,1,male,20-30,young_adult,high
dataset/photo_1752804912.jpg,1,2025-07-18_11-17-24,,1,1,0,1,male,20-39,young_adult,high
dataset/photo_1752804912.jpg,3,2025-07-18_11-17-29,,1,1,0,1,male,20-39,young_adult,high
dataset/photo_1752804907.jpg,1,2025-07-18_11-17-33,,1,1,0,1,male,20-29,young_adult,high
dataset/photo_1752804907.jpg,6,2025-07-18_11-17-37,,1,1,0,1,male,20-30,young_adult,high
dataset/photo_1752805162.jpg,1,2025-07-18_11-19-32,2025-07-18_11-19-52,1,1,0,1,unknown,unknown,unknown,low
dataset/photo_1752805162.jpg,1,2025-07-18_11-19-59,,1,1,0,1,female,20-30,young_adult,high
dataset/photo_1752805188.jpg,19,2025-07-18_11-21-17,,1,1,0,1,male,20-30,young_adult,high
