table_id,seat_time,group_size,male_count,female_count,young_adult_count,middle_aged_count,senior_count,has_mixed_gender,has_mixed_age,age_span,is_likely_family,family_indicators,total_orders,total_sales,avg_order_price,orders_per_person,sales_per_person,category_orders,top_products,gender_pattern,age_pattern
1,2025-07-18 11:57:20,3,2,1,0,2,1,True,True,1,True,混合性別・年代; 親子世代構成,0,0,0.0,0.0,0.0,{},{},男女混合,中年+高齢
2,2025-07-18 12:00:43,2,2,0,1,1,0,False,True,1,False,なし,1,890,890.0,0.5,445.0,{'丼・定食': 1},{'かき揚げ丼S': 890},男性のみ,若年+中年
11,2025-07-18 11:53:04,3,2,1,0,2,1,True,True,1,True,混合性別・年代; 親子世代構成,3,2460,820.0,1.0,820.0,"{'丼・定食': 2, 'その他': 1}","{'野菜炒め定食': 920, 'かき揚げ丼S': 890, 'チャーハン': 650}",男女混合,中年+高齢
13,2025-07-18 12:02:15,2,2,0,0,2,0,False,False,0,False,なし,1,1960,1960.0,0.5,980.0,{'その他': 1},{'金得かつカレ': 1960},男性のみ,中年
17,2025-07-18 12:16:39,3,3,0,2,1,0,False,True,1,False,なし,3,1770,590.0,1.0,590.0,{'その他': 3},"{'チャーハンS': 950, '冷やし中華': 820, '無料ミニメン': 0}",男性のみ,若年+中年
19,2025-07-18 11:50:16,3,2,1,0,1,2,True,True,1,True,混合性別・年代; 親子世代構成,1,1280,1280.0,0.3333333333333333,426.6666666666667,{'麺類': 1},{'天ざるそば': 1280},男女混合,中年+高齢
24,2025-07-18 12:13:42,3,3,0,2,1,0,False,True,1,False,なし,4,3670,917.5,1.3333333333333333,1223.3333333333333,"{'その他': 3, 'カレー系': 1}","{'金得かつカレ': 1960, 'かつカレー': 940, 'ネバとろうど': 770}",男性のみ,若年+中年
25,2025-07-18 11:54:42,3,2,1,0,1,2,True,True,1,True,混合性別・年代; 親子世代構成,2,1860,930.0,0.6666666666666666,620.0,{'その他': 2},"{'金得かつカレ': 980, '冷やし五目ぶ': 880}",男女混合,中年+高齢
26,2025-07-18 11:58:14,2,2,0,1,1,0,False,True,1,False,なし,5,4180,836.0,2.5,2090.0,"{'その他': 3, '丼・定食': 2}","{'生姜焼きS': 1280, 'チャーハンS': 950, 'かき揚げ丼S': 890}",男性のみ,若年+中年
28,2025-07-18 11:49:16,3,3,0,3,0,0,False,False,0,False,なし,2,2980,1490.0,0.6666666666666666,993.3333333333334,"{'麺類': 1, 'その他': 1}","{'金得かつカレ': 1960, '3種盛天そば': 1020}",男性のみ,若年
28,2025-07-18 12:11:04,5,3,2,5,0,0,True,False,0,False,なし,2,1860,930.0,0.4,372.0,{'その他': 2},"{'金得かつカレ': 980, '冷やし五目ぶ': 880}",男女混合,若年
